frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,grounded
7,18,,777.6685,124.1614,540.0845,10.0282,-14.0376,-13.7324,22.0499,0.5993,-4.1216,2.7664,5.0000,0
7,19,,582.2554,143.2712,629.1084,-11.1698,-12.3899,-13.3774,21.3829,-0.5880,-3.6549,3.3610,5.0000,0
8,0,,573.7261,248.8125,668.1359,-16.9821,-17.5000,-11.5179,26.9686,-3.1459,0.6803,3.8263,5.0000,0
8,1,,787.9094,311.8842,751.5999,-1.2105,-3.2105,8.0000,8.7048,3.3946,3.6614,0.2668,5.0000,0
8,2,,488.2854,294.1293,705.5699,3.8041,-13.2758,-5.7320,14.9524,-1.1276,-2.8342,3.9618,5.0000,0
8,3,,735.2774,335.1955,531.2776,3.6986,-12.3938,-9.6301,16.1253,-3.9464,-2.8784,1.0680,5.0000,0
8,4,,700.8464,234.7965,464.8951,-15.3818,-17.7136,-1.4000,23.5018,-2.1366,1.9444,4.0810,5.0000,0
8,5,,554.6658,323.8211,663.1653,8.8750,9.2812,2.2031,13.0292,2.0179,-2.0645,4.0824,5.0000,0
8,6,,792.9028,265.3746,482.3321,-1.2959,-10.0051,4.4286,11.0179,-4.0790,2.1856,1.8934,5.0000,0
8,7,,400.9679,164.1648,688.9586,12.9062,0.5312,12.7812,18.1718,-3.5226,0.0258,3.5484,5.0000,0
8,8,,722.5389,185.6652,604.2156,7.1882,7.2029,-10.4588,14.5925,-0.0976,3.4857,3.5833,5.0000,0
8,9,,646.5930,120.6065,662.9462,-5.4302,-6.9128,-0.7209,8.8201,-2.5484,4.0363,1.4879,5.0000,0
8,10,,544.4628,257.7719,602.8550,-7.1667,8.6250,-1.9306,11.3789,-4.0825,-2.0467,2.0358,5.0000,0
8,11,,791.6229,192.7622,565.5131,8.3043,-4.8370,6.8406,11.7963,-2.1362,-4.0810,1.9448,5.0000,0
8,12,,636.7885,210.6026,689.4139,-2.8182,-6.9659,-7.8182,10.8439,3.3804,-3.6725,0.2921,5.0000,0
8,13,,792.2628,301.6303,479.6471,-9.8293,6.7378,-4.7073,12.8129,-2.9354,-0.9895,3.9248,5.0000,0
8,14,,734.2848,128.8788,732.0140,-9.5385,-16.6154,13.5192,23.4483,0.1017,3.5853,3.4836,5.0000,0
8,15,,596.1612,262.2839,417.0978,-11.1860,-11.2151,1.3023,15.8935,2.5831,-3.9590,1.6292,5.0000,0
8,16,,629.3859,139.4299,662.0403,-8.1852,4.0648,-12.7963,15.7247,3.8799,3.1478,-0.1945,5.0000,0
8,17,,497.8882,274.0201,484.2043,11.8442,-1.3994,-10.6104,15.9632,-1.7656,-4.2069,-2.0457,5.0000,0
8,18,,777.7520,124.0409,539.9700,10.0282,-14.4542,-13.7324,22.3174,0.5993,-4.1216,2.7664,5.0000,0
8,19,,582.1623,143.1645,628.9969,-11.1698,-12.8066,-13.3774,21.6270,-0.5880,-3.6549,3.3610,5.0000,0
9,0,,573.5846,248.6632,668.0399,-16.9821,-17.9167,-11.5179,27.2408,-3.1459,0.6803,3.8263,5.0000,0
9,1,,787.8993,311.8540,751.6665,-1.2105,-3.6272,8.0000,8.8669,3.3946,3.6614,0.2668,5.0000,0
9,2,,488.3171,294.0152,705.5221,3.8041,-13.6924,-5.7320,15.3235,-1.1276,-2.8342,3.9618,5.0000,0
9,3,,735.3082,335.0887,531.1974,3.6986,-12.8105,-9.6301,16.4477,-3.9464,-2.8784,1.0680,5.0000,0
