frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
10,2,chaos_c,3.7380,100.0000,57.2395,-2.7345,0.0000,-8.5461,8.9729,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
11,0,chaos_a,-53.8845,100.0000,-9.1918,11.2864,0.0000,-11.8471,16.3627,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
11,1,chaos_b,41.3803,100.0000,16.4116,-6.3672,0.0000,14.2144,15.5753,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
11,2,chaos_c,3.7155,100.0000,57.1679,-2.7087,0.0000,-8.5968,9.0135,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
12,0,chaos_a,-53.7902,100.0000,-9.2904,11.3104,0.0000,-11.8339,16.3697,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
12,1,chaos_b,41.3270,100.0000,16.5302,-6.3988,0.0000,14.2325,15.6048,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
12,2,chaos_c,3.6931,100.0000,57.0958,-2.6827,0.0000,-8.6477,9.0543,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
13,0,chaos_a,-53.6958,100.0000,-9.3889,11.3344,0.0000,-11.8207,16.3767,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
13,1,chaos_b,41.2734,100.0000,16.6489,-6.4306,0.0000,14.2508,15.6345,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
13,2,chaos_c,3.6710,100.0000,57.0233,-2.6564,0.0000,-8.6988,9.0954,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
